Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Harian(ton);Timbulan Sampah Tahunan(ton)
2021;Jawa Tengah;Kab. Wonogiri;439,37;160.369,61
2021;Jawa Tengah;Kab. Karanganyar;361,84;132.071,89
2021;Jawa Tengah;Kab. Sragen;586,17;213.952,27
2021;Jawa Tengah;Kab. Grobogan;848,15;309.573,61
2021;Jawa Tengah;Kab. Blora;226,85;82.801,58
2021;Jawa Tengah;Kab. Rembang;245,66;89.666,36
2021;Jawa Tengah;Kab. Pati;662,09;241.664,31
2021;Jawa Tengah;Kab. Kudus;445,93;162.765,18
2021;Jawa Tengah;Kab. Jepara;400,08;146.028,40
2021;Jawa Tengah;Kab. Demak;722,37;263.666,36
2021;Jawa Tengah;Kab. Semarang;526,55;192.189,00
2021;Jawa Tengah;Kab. Temanggung;500,17;182.562,96
2021;Jawa Tengah;Kab. Kendal;407,4;148.701,73
2021;Jawa Tengah;Kab. Batang;245,33;89.543,84
2021;Jawa Tengah;Kab. Pekalongan;387,53;141.447,87
2021;Jawa Tengah;Kab. Pemalang;588,6;214.837,39
2021;Jawa Tengah;Kab. Tegal;670,74;244.819,49
2021;Jawa Tengah;Kab. Brebes;983,19;358.865,26
2021;Jawa Tengah;Kota Magelang;80,68;29.447,93
2021;Jawa Tengah;Kota Salatiga;112,24;40.969,24
2021;Jawa Tengah;Kota Semarang;1.180,14;430.749,75
2021;Jawa Tengah;Kota Tegal;201,57;73.573,52
2021;D.I. Yogyakarta;Kab. Kulon Progo;177,14;64.654,35
2021;D.I. Yogyakarta;Kab. Gunungkidul;366,11;133.629,74
2021;D.I. Yogyakarta;Kab. Sleman;735,57;268.481,59
2021;D.I. Yogyakarta;Kota Yogyakarta;327,4;119.501,69
2021;Jawa Timur;Kab. Pacitan;286,73;104.654,83
2021;Jawa Timur;Kab. Ponorogo;387,78;141.540,58
2021;Jawa Timur;Kab. Trenggalek;293,96;107.293,65
2021;Jawa Timur;Kab. Blitar;409,93;149.623,83
2021;Jawa Timur;Kab. Kediri;533,82;194.845,76
2021;Jawa Timur;Kab. Malang;960,59;350.614,62
2021;Jawa Timur;Kab. Lumajang;501,5;183.048,96
2021;Jawa Timur;Kab. Banyuwangi;1.252,87;457.297,22
2021;Jawa Timur;Kab. Situbondo;257,17;93.865,59
2021;Jawa Timur;Kab. Sidoarjo;1.114,65;406.847,51
2021;Jawa Timur;Kab. Jombang;530,37;193.583,44
2021;Jawa Timur;Kab. Nganjuk;443,87;162.013,72
2021;Jawa Timur;Kab. Magetan;268,32;97.938,55
2021;Jawa Timur;Kab. Ngawi;356,72;130.204,03
2021;Jawa Timur;Kab. Bojonegoro;536,5;195.823,81
2021;Jawa Timur;Kab. Tuban;503,17;183.655,24
2021;Jawa Timur;Kab. Lamongan;221,94;81.008,10
2021;Jawa Timur;Kab. Pamekasan;276,6;100.957,25
2021;Jawa Timur;Kab. Sumenep;367,44;134.116,61
2021;Jawa Timur;Kota Kediri;169,35;61.812,13
2021;Jawa Timur;Kota Blitar;75,19;27.442,53
2021;Jawa Timur;Kota Malang;677,78;247.388,97
2021;Jawa Timur;Kota Probolinggo;96,57;35.247,76
2021;Jawa Timur;Kota Pasuruan;135,2;49.349,42
2021;Jawa Timur;Kota Mojokerto;66,22;24.168,48
2021;Jawa Timur;Kota Madiun;119,71;43.695,25
2021;Jawa Timur;Kota Batu;114,42;41.762,47
2021;Banten;Kab. Serang;1.163,84;424.801,97
2021;Banten;Kota Serang;574,44;209.672,00
2021;Banten;Kota Tangerang Selatan;799,07;291.659,27
2021;Bali;Kab. Jembrana;162,73;59.395,72
2021;Bali;Kab. Tabanan;230,82;84.247,48
2021;Bali;Kab. Badung;319,81;116.731,24
2021;Bali;Kab. Gianyar;387,23;141.337,13
2021;Bali;Kab. Bangli;110,9;40.479,96
2021;Bali;Kab. Buleleng;339,1;123.771,50
2021;Bali;Kota Denpasar;957,59;349.519,44
2021;Nusa Tenggara Barat;Kab. Lombok Timur;483,44;176.454,72
2021;Nusa Tenggara Barat;Kab. Lombok Utara;79,75;29.107,83
2021;Nusa Tenggara Barat;Kota Mataram;263,98;96.354,09
2021;Nusa Tenggara Timur;Kab. Alor;116,53;42.533,30
2021;Nusa Tenggara Timur;Kab. Manggarai Barat;82,18;29.995,84
2021;Nusa Tenggara Timur;Kab. Sumba Tengah;26;9.490,37
2021;Kalimantan Barat;Kab. Sambas;277,38;101.244,25
2021;Kalimantan Barat;Kab. Mempawah;82,24;30.015,96
2021;Kalimantan Barat;Kab. Sanggau;242,41;88.479,29
2021;Kalimantan Barat;Kab. Melawi;83,63;30.524,07
2021;Kalimantan Barat;Kota Pontianak;396,3;144.651,25
2021;Kalimantan Barat;Kota Singkawang;117,53;42.899,18
2021;Kalimantan Tengah;Kab. Kapuas;205,2;74.898,00
2021;Kalimantan Tengah;Kab. Barito Utara;63,37;23.129,61
2021;Kalimantan Tengah;Kab. Gunung Mas;101,55;37.065,75
2021;Kalimantan Tengah;Kab. Murung Raya;55,14;20.125,19
2021;Kalimantan Tengah;Kab. Barito Timur;46,51;16.977,76
2021;Kalimantan Tengah;Kota Palangkaraya;147,92;53.990,25
2021;Kalimantan Selatan;Kab. Tanah Laut;141,74;51.733,64
2021;Kalimantan Selatan;Kab. Kotabaru;130,25;47.540,81
2021;Kalimantan Selatan;Kab. Banjar;407,66;148.795,80
2021;Kalimantan Selatan;Kab. Barito Kuala;94,96;34.660,04
2021;Kalimantan Selatan;Kab. Tapin;80,49;29.379,14
2021;Kalimantan Selatan;Kab. Hulu Sungai Selatan;96,01;35.042,92
2021;Kalimantan Selatan;Kab. Hulu Sungai Tengah;103,49;37.773,27
2021;Kalimantan Selatan;Kab. Hulu Sungai Utara;96,66;35.280,75
2021;Kalimantan Selatan;Kab. Tabalong;101,32;36.982,53
2021;Kalimantan Selatan;Kab. Tanah Bumbu;164,35;59.986,29
2021;Kalimantan Selatan;Kab. Balangan;56;20.440,98
2021;Kalimantan Selatan;Kota Banjarmasin;506,45;184.856,04
2021;Kalimantan Selatan;Kota Banjarbaru;164,71;60.120,18
2021;Kalimantan Timur;Kab. Paser;115,29;42.080,85
2021;Kalimantan Timur;Kab. Kutai Kartanegara;222,59;81.243,53
2021;Kalimantan Timur;Kab. Kutai Timur;212,22;77.461,58
2021;Kalimantan Timur;Kab. Penajam Paser Utara;92,51;33.766,52
2021;Kalimantan Timur;Kota Balikpapan;497,21;181.479,86
2021;Kalimantan Timur;Kota Samarinda;581,85;212.376,71
2021;Kalimantan Timur;Kota Bontang;103,82;37.894,33
2021;Kalimantan Utara;Kab. Nunukan;41,81;15.260,25
2021;Sulawesi Utara;Kab. Minahasa;171,78;62.700,43
2021;Sulawesi Utara;Kab. Minahasa Selatan;94,59;34.523,60
2021;Sulawesi Utara;Kab. Minahasa Utara;112,5;41.061,22
2021;Sulawesi Utara;Kab. Minahasa Tenggara;45,37;16.559,47
2021;Sulawesi Utara;Kab. Bolaang Mongondow Utara;41,56;15.167,94
2021;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;36,79;13.429,08
2021;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;34,9;12.736,86
2021;Sulawesi Utara;Kota Manado;339,89;124.059,81
2021;Sulawesi Utara;Kota Bitung;158,56;57.874,58
2021;Sulawesi Utara;Kota Tomohon;71,61;26.136,88
2021;Sulawesi Utara;Kota Kotamobagu;86,63;31.620,68
2021;Sulawesi Tengah;Kab. Donggala;121,64;44.400,06
2021;Sulawesi Tengah;Kab. Parigi Moutong;225,59;82.341,99
2021;Sulawesi Tengah;Kab. Banggai Laut;35,44;12.933,78
2021;Sulawesi Tengah;Kota Palu;186,93;68.228,90
2021;Sulawesi Selatan;Kab. Kepulauan Selayar;56,13;20.488,47
2021;Sulawesi Selatan;Kab. Bulukumba;173,94;63.488,39
2021;Sulawesi Selatan;Kab. Bantaeng;80,68;29.446,45
2021;Sulawesi Selatan;Kab. Jeneponto;160,64;58.635,06
2021;Sulawesi Selatan;Kab. Sinjai;108,31;39.534,76
2021;Sulawesi Selatan;Kab. Bone;403,38;147.231,88
2021;Sulawesi Selatan;Kab. Maros;158,77;57.950,90
2021;Sulawesi Selatan;Kab. Pangkajene Kepulauan;138,31;50.483,15
2021;Sulawesi Selatan;Kab. Barru;75,95;27.722,04
2021;Sulawesi Selatan;Kab. Soppeng;95,09;34.707,12
2021;Sulawesi Selatan;Kab. Wajo;151,64;55.348,60
2021;Sulawesi Selatan;Kab. Sidenreng Rappang;128;46.718,54
2021;Sulawesi Selatan;Kab. Pinrang;176,9;64.570,25
2021;Sulawesi Selatan;Kab. Enrekang;113,96;41.596,68
2021;Sulawesi Selatan;Kab. Luwu;152,18;55.544,39
2021;Sulawesi Selatan;Kab. Luwu Timur;120,2;43.874,61
2021;Sulawesi Selatan;Kota Makassar;1.023,71;373.653,93
2021;Sulawesi Selatan;Kota Pare Pare;76,25;27.832,35
2021;Sulawesi Selatan;Kota Palopo;92,34;33.704,28
2021;Sulawesi Tenggara;Kab. Kolaka Utara;55,73;20.340,57
2021;Gorontalo;Kab. Pohuwato;58,57;21.379,07
2021;Gorontalo;Kota Gorontalo;141,21;51.541,50
2021;Sulawesi Barat;Kab. Mamuju;125,44;45.786,99
2021;Sulawesi Barat;Kab. Majene;69,76;25.463,42
2021;Sulawesi Barat;Kab. Mamuju Tengah;62,64;22.864,48
2021;Maluku;Kota Tual;53,73;19.611,92
2021;Maluku Utara;Kab. Halmahera Utara;142,7;52.084,44
2021;Maluku Utara;Kota Tidore Kepulauan;46,12;16.834,53
2021;Papua;Kab. Jayapura;84,24;30.746,87
2021;Papua;Kab. Nabire;67,65;24.693,86
2021;Papua;Kab. Biak Numfor;58,42;21.323,59
2021;Papua;Kab. Keerom;24,65;8.996,96
2021;Papua;Kab. Asmat;44,65;16.298,27
2021;Papua;Kab. Lanny Jaya;80,78;29.483,24
2021;Papua;Kota Jayapura;217,8;79.496,56
2021;Papua Barat;Kab. Manokwari;160,02;58.405,66
2021;Papua Barat;Kab. Sorong Selatan;22,38;8.167,39
